psgc_code,province,municipality,barangay
1001301001,Bukidnon,Baungon,Balintad
1001301002,Bukidnon,Baungon,Buenavista
1001301003,Bukidnon,Baungon,Danatag
1001301012,Bukidnon,Baungon,Imbatug
1001301004,Bukidnon,Baungon,Kalilangan
1001301005,Bukidnon,Baungon,Lacolac
1001301006,Bukidnon,Baungon,Langaon
1001301007,Bukidnon,Baungon,Liboran
1001301008,Bukidnon,Baungon,Lingating
1001301009,Bukidnon,Baungon,Mabuhay
1001301010,Bukidnon,Baungon,Mabunga
1001301011,Bukidnon,Baungon,Nicdao
1001301013,Bukidnon,Baungon,Pualas
1001301014,Bukidnon,Baungon,Salimbalan
1001301016,Bukidnon,Baungon,San Miguel
1001301015,Bukidnon,Baungon,San Vicente
1001322009,Bukidnon,Cabanglasan,Anlogan
1001322001,Bukidnon,Cabanglasan,Cabulohan
1001322002,Bukidnon,Cabanglasan,Canangaan
1001322010,Bukidnon,Cabanglasan,Capinonan
1001322011,Bukidnon,Cabanglasan,Dalacutan
1001322012,Bukidnon,Cabanglasan,Freedom
1001322003,Bukidnon,Cabanglasan,Iba
1001322004,Bukidnon,Cabanglasan,Imbatug
1001322015,Bukidnon,Cabanglasan,Jasaan
1001322005,Bukidnon,Cabanglasan,Lambangan
1001322013,Bukidnon,Cabanglasan,Mandahikan
1001322006,Bukidnon,Cabanglasan,Mandaing
1001322014,Bukidnon,Cabanglasan,Mauswagon
1001322007,Bukidnon,Cabanglasan,Paradise
1001322008,Bukidnon,Cabanglasan,Poblacion
1001312001,Bukidnon,City of Malaybalay,Aglayan
1001312027,Bukidnon,City of Malaybalay,Apo Macote
1001312002,Bukidnon,City of Malaybalay,Bangcud
1001312038,Bukidnon,City of Malaybalay,Barangay 1
1001312053,Bukidnon,City of Malaybalay,Barangay 10
1001312054,Bukidnon,City of Malaybalay,Barangay 11
1001312045,Bukidnon,City of Malaybalay,Barangay 2
1001312046,Bukidnon,City of Malaybalay,Barangay 3
1001312047,Bukidnon,City of Malaybalay,Barangay 4
1001312048,Bukidnon,City of Malaybalay,Barangay 5
1001312049,Bukidnon,City of Malaybalay,Barangay 6
1001312050,Bukidnon,City of Malaybalay,Barangay 7
1001312051,Bukidnon,City of Malaybalay,Barangay 8
1001312052,Bukidnon,City of Malaybalay,Barangay 9
1001312003,Bukidnon,City of Malaybalay,Busdi
1001312004,Bukidnon,City of Malaybalay,Cabangahan
1001312007,Bukidnon,City of Malaybalay,Caburacanan
1001312009,Bukidnon,City of Malaybalay,Canayan
1001312010,Bukidnon,City of Malaybalay,Capitan Angel
1001312012,Bukidnon,City of Malaybalay,Casisang
1001312014,Bukidnon,City of Malaybalay,Dalwangan
1001312017,Bukidnon,City of Malaybalay,Imbayao
1001312018,Bukidnon,City of Malaybalay,Indalaza
1001312021,Bukidnon,City of Malaybalay,Kabalabag
1001312019,Bukidnon,City of Malaybalay,Kalasungay
1001312022,Bukidnon,City of Malaybalay,Kulaman
1001312023,Bukidnon,City of Malaybalay,Laguitas
1001312026,Bukidnon,City of Malaybalay,Linabo
1001312029,Bukidnon,City of Malaybalay,Magsaysay
1001312030,Bukidnon,City of Malaybalay,Maligaya
1001312031,Bukidnon,City of Malaybalay,Managok
1001312032,Bukidnon,City of Malaybalay,Manalog
